age,sound,kids_produce,kids_understand,kids_respond,prop_produce,prop_understand
8,cockadoodledoo,1,3,35,0.02857142857142857,0.08571428571428572
8,meow,0,10,35,0,0.2857142857142857
8,woof woof,3,12,35,0.08571428571428572,0.34285714285714286
9,cockadoodledoo,0,2,91,0,0.02197802197802198
9,meow,2,21,93,0.021505376344086023,0.22580645161290322
9,woof woof,2,22,93,0.021505376344086023,0.23655913978494625
10,cockadoodledoo,0,9,139,0,0.06474820143884892
10,meow,5,41,145,0.034482758620689655,0.2827586206896552
10,woof woof,4,40,143,0.027972027972027972,0.27972027972027974
11,cockadoodledoo,0,4,94,0,0.0425531914893617
11,meow,5,36,94,0.05319148936170213,0.3829787234042553
11,woof woof,12,32,94,0.1276595744680851,0.3404255319148936
12,cockadoodledoo,0,16,141,0,0.11347517730496454
12,meow,12,59,141,0.0851063829787234,0.41843971631205673
12,woof woof,28,59,141,0.19858156028368795,0.41843971631205673
13,cockadoodledoo,9,128,768,0.01171875,0.16666666666666666
13,meow,125,455,768,0.16276041666666666,0.5924479166666666
13,woof woof,236,500,769,0.3068920676202861,0.6501950585175552
14,cockadoodledoo,3,22,122,0.02459016393442623,0.18032786885245902
14,meow,28,77,126,0.2222222222222222,0.6111111111111112
14,woof woof,47,85,128,0.3671875,0.6640625
15,cockadoodledoo,9,37,116,0.07758620689655173,0.31896551724137934
15,meow,36,78,118,0.3050847457627119,0.6610169491525424
15,woof woof,55,82,118,0.4661016949152542,0.6949152542372882
16,cockadoodledoo,93,323,720,0.12916666666666668,0.4486111111111111
16,meow,361,594,720,0.5013888888888889,0.825
16,woof woof,439,625,720,0.6097222222222223,0.8680555555555556
17,cockadoodledoo,15,41,89,0.16853932584269662,0.4606741573033708
17,meow,53,71,89,0.5955056179775281,0.797752808988764
17,woof woof,54,73,89,0.6067415730337079,0.8202247191011236
18,cockadoodledoo,18,43,84,0.21428571428571427,0.5119047619047619
18,meow,54,71,84,0.6428571428571429,0.8452380952380952
18,woof woof,60,75,84,0.7142857142857143,0.8928571428571429
